Function,Time (s)
Setup Environment,1.1682510375976562e-05
Load Files to DB,0.018414974212646484
Setup Database,0.15593981742858887
Setup LLM,0.04128408432006836
Create Agent,0.059137821197509766
Function,Time (s)
Setup Environment,1.0967254638671875e-05
Load Files to DB,0.019176959991455078
Setup Database,0.14487886428833008
Setup LLM,0.04526805877685547
Create Agent,0.27252888679504395
Invoke Agent,38.089118003845215
Function,Time (s)
Setup Environment,1.2636184692382812e-05
Load Files to DB,0.020399093627929688
Setup Database,0.15680384635925293
Setup LLM,0.0435488224029541
Create Agent,0.26662492752075195
Invoke Agent,34.68501400947571
Function,Time (s)
Setup Environment,1.0967254638671875e-05
Load Files to DB,0.02140212059020996
Setup Database,0.15004515647888184
Setup LLM (gpt-4o),0.04457902908325195
Create Agent (gpt-4o),0.2397160530090332
Invoke Agent (gpt-4o),81.40605521202087
Setup LLM (gpt-4o-mini),0.09608292579650879
Create Agent (gpt-4o-mini),0.005679130554199219
Invoke Agent (gpt-4o-mini),35.9282021522522
Function,Time (s)
Setup Environment,1.2159347534179688e-05
Load Files to DB,0.01945805549621582
Setup Database,0.1550428867340088
Setup LLM (gpt-4o),0.04242873191833496
Create Agent (gpt-4o),0.2528688907623291
Invoke Agent (gpt-4o),101.57433414459229
Setup LLM (gpt-4o-mini),0.044064998626708984
Create Agent (gpt-4o-mini),0.0018069744110107422
Invoke Agent (gpt-4o-mini),39.96638798713684
Function,Time (s)
Setup Environment,1.0967254638671875e-05
Load Files to DB,0.019739866256713867
Setup Database,0.14329290390014648
Setup LLM (gpt-4o),0.04405498504638672
Create Agent (gpt-4o),0.24272513389587402
Invoke Agent (gpt-4o),167.43670177459717
Setup LLM (gpt-4o-mini),0.050347089767456055
Create Agent (gpt-4o-mini),0.00397491455078125
Invoke Agent (gpt-4o-mini),29.230389833450317
